,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Lxy <= 0.5,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,211.62113647383234,22.976275785751053,19.10167299555544,18.099530477658128,18.033157433278582,18.033157433278582,16.965408178127703,4.6072768188839515,0.3997998576109039,5.0,0.2,10.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,6090.241351750135,583.268175071835,483.38398381009836,451.72932611280794,451.72932611280794,451.72932611280794,439.55093590266637,124.17176134695946,10.9528521383534,5.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,118.47951794817327,13.269841814060843,10.814831211421861,10.19279049378693,10.19279049378693,10.19279049378693,9.839572831386517,2.6410476652983728,0.5548225022070853,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3591.8943767574788,398.7240181038894,340.802749889091,322.4067768402069,322.4067768402069,322.4067768402069,313.43312241580736,81.74258067709943,10.333597040462497,10.0,0.1,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3043.716823127073,371.80309684077747,324.15743489385693,312.0031117899879,312.0031117899879,312.0031117899879,308.2645498442762,97.13101990830098,24.269365763050587,20.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,93.99863616319665,11.48925373962898,10.00155388917358,9.400078867913226,9.400078867913226,9.400078867913226,9.195836537926933,2.4412430240275866,0.8744226086900863,20.0,0.2,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,15555.452100966933,2054.322570281654,1773.8382301095273,1709.6957769759263,1707.69042542541,1707.69042542541,1671.5850906866592,521.0433716325193,260.52504752021264,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,27263.502227424033,3734.6737874719056,3214.536713320757,3119.890210523919,3117.2597839336518,3117.2597839336518,3088.3265199334787,886.0219989799041,252.38028183998455,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,47.30464044851869,7.295161187864845,6.178193912016902,5.917338233925936,5.917338233925936,5.917338233925936,5.797324460945901,1.925299702735662,0.8919860189502539,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,1569.1334246904726,213.4839941336165,183.28939490532812,176.00991318357336,176.00991318357336,176.00991318357336,174.34102630372837,55.841732482785055,20.94816656195014,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,18.964344684698002,3.200084996291692,2.779585889917215,2.637743880868244,2.637743880868244,2.637743880868244,2.5958387707739274,0.9041432960539307,0.4993013042423519,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,625.9503690668715,88.05768427796862,75.29919385115824,72.37877121969308,72.37877121969308,72.37877121969308,71.54277022129996,24.54392163037447,9.60477137150009,50.0,0.1,10.0
