,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,39.98737870485984,23.770825624758743,8.201641889151436
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.006566297850282976,23.770825624758743,0.0013467855420835754
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,0.3997998576109039,23.770825624758743,0.08200125553765934
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,0.5831631206840743,23.770825624758743,0.11961011783524314
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,788.9991380933915,23.770825624758743,161.82827159672453
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,10.9528521383534,23.770825624758743,2.2464931139055513
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,0.17370822733974353,23.770825624758743,0.035628558809900984
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,10.333597040462497,23.770825624758743,2.119480323484374
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,0.5548225022070853,23.770825624758743,0.11379729360935602
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.0039084860207530625,23.770825624758743,0.0008016530142566014
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,778.6014614112843,23.770825624758743,159.69564816933647
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,38.396518957545744,23.770825624758743,7.875347384086756
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.017721011427146487,23.770825624758743,0.0036346816007059727
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,921.559906984649,23.770825624758743,189.01724947449992
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,0.8744226086900863,23.770825624758743,0.17934911786008312
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,24.269365763050587,23.770825624758743,4.977786824550771
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,50.76480650014405,23.770825624758743,10.412154459018018
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,0.19636750965739644,23.770825624758743,0.04027610823809054
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,3.1970157516461835,23.770825624758743,0.6557263606226725
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,1323.7455324525718,23.770825624758743,271.50783975296184
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,260.52504752021264,23.770825624758743,53.43518910518778
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,252.38028183998455,23.770825624758743,51.764650711728066
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,3424.6532927102553,23.770825624758743,702.4161325658287
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,25.74932595983609,23.770825624758743,5.281335192495119
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.008875809904012993,23.770825624758743,0.001820479778036836
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,805.6648682039305,23.770825624758743,165.2465089159734
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,0.2010373056898381,23.770825624758743,0.04123391032449767
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,0.8919860189502539,23.770825624758743,0.1829514745529122
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,35.627322879986096,23.770825624758743,7.3073693048878114
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,20.94816656195014,23.770825624758743,4.296589722559907
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,0.11549711523755121,23.770825624758743,0.023689124145897696
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,9.60477137150009,23.770825624758743,1.9699939772907338
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,16.468673373403842,23.770825624758743,3.3778198464818643
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.004687934569979137,23.770825624758743,0.0009615224050199912
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,0.4993013042423519,23.770825624758743,0.10240957584159735
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,363.0769063380819,23.770825624758743,74.46916653338961
