,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT v2 Loose WP,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.010929611532130115,0.0011866573111632384,0.0009865454317745652,0.0009347877075559225,0.0009313597343233765,0.0009313597343233765,0.0008762136143895416,0.00027267940349824134,5.0,0.2,10.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.010675780282311816,0.0010224295759547364,0.0008473393589996599,0.000791850889664869,0.000791850889664869,0.000791850889664869,0.0007705029970992702,0.00018996957480825642,5.0,0.1,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.012434052608005182,0.0013802620280985267,0.0011797561054395964,0.0011160748073075063,0.0011160748073075063,0.0011160748073075063,0.001085010728162794,0.00034814257896133896,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.012593406008752844,0.001410475907823105,0.0011495283127430022,0.0010834104600810817,0.0010834104600810817,0.0010834104600810817,0.0010458663046936773,0.0003879310343182969,10.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.016286106070609714,0.001989417880967331,0.0017344788214674566,0.0016694443235857827,0.0016694443235857827,0.0016694443235857827,0.0016494402890656291,0.0005698988708397173,20.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.015837739586141777,0.0019358132861782282,0.0016851521726175204,0.0015838102261476598,0.0015838102261476598,0.0015838102261476598,0.001549397632871586,0.0007115369962950428,20.0,0.2,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.019309047791447587,0.0025500392036919444,0.0022018728184282476,0.0021222525229216706,0.002119763271649754,0.002119763271649754,0.0020749455685401532,0.001035090689848523,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.02012816097691991,0.002757243532523967,0.0023732355400347483,0.002303359702796164,0.00230141770541794,0.00230141770541794,0.00228005678888839,0.0009116670518235037,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.024701578032977844,0.003809393574004804,0.003226134636550928,0.0030899207931179185,0.0030899207931179185,0.0030899207931179185,0.003027251897419943,0.001441398643899813,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.0258748541724068,0.0035203298390255847,0.0030224238996499424,0.002902385969772653,0.002902385969772653,0.002902385969772653,0.002874866191042078,0.0012009103353223748,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.031124630149919286,0.00525203815970775,0.004561907317757933,0.004329113612266336,0.004329113612266336,0.004329113612266336,0.004260338177377217,0.0021472886405369163,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.03244537753715607,0.004564363171005908,0.0039030423073100344,0.0037516657453196714,0.0037516657453196714,0.0037516657453196714,0.003708332648392611,0.0015371339239366954,50.0,0.1,10.0
