,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,132.25177227202468,46.14937863220887,19.467876012915486
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,3032.3719070044554,46.14937863220887,446.3746632384321
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,83.42901014023931,46.14937863220887,12.281012173883836
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,1951.6912138932034,46.14937863220887,287.2950729871359
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,73.75526879176249,46.14937863220887,10.857007081794816
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,1688.0138484185277,46.14937863220887,248.48093711366883
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,4344.518473929363,46.14937863220887,639.5267566797561
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,1875.151222414322,46.14937863220887,276.0281459846335
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,40.64475753117048,46.14937863220887,5.983035891302133
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,1048.1522963391092,46.14937863220887,154.29130814074375
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,19.16783786858175,46.14937863220887,2.821565901541797
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,436.3097591429522,46.14937863220887,64.226166109509
