,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vertex chi2/df < 3,"dPhi(MET,vtx) < 1",m(ee) < 20,dR(ee) < 1.0,minDxy > 0.01,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,2177,190,165,155,155,155,147,41,29,26,17,14,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,10655,869,735,692,692,692,666,176,110,108,64,46,5.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,5842,440,371,354,354,354,342,124,91,85,56,50,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,12365,995,839,792,792,792,776,251,161,158,104,88,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,6241,557,479,459,459,459,436,160,127,125,94,83,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,8195,714,629,596,596,596,576,175,131,128,87,74,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,5296,501,422,410,410,410,394,138,117,115,93,85,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,14389,1272,1106,1058,1058,1058,1027,340,256,249,186,163,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,10574,1084,888,849,849,849,821,315,261,253,193,173,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,16226,1522,1303,1259,1259,1259,1222,429,345,341,271,244,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,6993,754,643,617,617,617,590,227,177,175,121,112,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,15529,1539,1314,1274,1274,1274,1244,441,348,341,280,250,50.0,0.1,100.0
